,,Spot,You notice a faint disturbance in the dirt that gives away the creature's hiding spot.,"You strain your eyes, but everything just looks like natural weathering."
HostileGuard,Armed sentries refusing entry or demanding a toll.,ParleyGuards,"Speaking their language, you ease their suspicions and they let you pass.","Your words fall on deaf ears, and they tighten their grip on their weapons."
,,Bargain,A quick negotiation and a small exchange is enough to buy their cooperation.,They are deeply insulted by your offer and refuse to deal with you any further.
,,Intimidate,"You step forward with a terrifying glare, and they back down out of sheer fear.","They see right through your bluff and stand their ground, unimpressed."
,,Deceive,"You feed them a flawless lie, and they eagerly step aside to let you through.",They catch the inconsistency in your story and immediately raise the alarm.
StreetInformant,"A local beggar, fence, or thug holding key information.",MingleStreets,"You blend in perfectly, earning their trust and the information you need.","You stick out like a sore thumb, causing them to clam up and walk away."
,,Persuade,"You appeal to their better nature, convincing them to spill what they know.","Your arguments fail to move them, and they refuse to say another word."
,,ParleyUnderground,"You speak the local slang flawlessly, establishing a rapport that gets them talking.","You use the wrong slang, marking yourself as an outsider they will not trust."
,,Intimidate,A thinly veiled threat is all it takes to loosen their tongue.,"They call your bluff and laugh in your face, keeping their secrets."
BureaucraticBlock,An official refusing to sign papers or grant access.,NavigateBureaucracy,You cite the exact obscure regulation needed to force them to stamp your request.,"You get lost in the red tape, and they gleefully stamp your request 'Denied'."
,,ParleyAristocrats,"You casually drop the right high-society names, and the official immediately complies.","Your attempt at name-dropping fails, deeply offending the official instead."
,,Persuade,"You make a compelling, logical case that leaves them no choice but to agree.",The official remains completely unmoved by your pleas and dismisses you.
