Dune Tracker,"You can find a trail in the middle of a blinding sandstorm, using the harsh winds of Bren's arid wastes to mask your movements.",,Track,FindPaths,EndurePhysicalStrain,Spot,EndureDehydration,,
Brute Beast Hunter,"You bring down the desert's most resilient monstrosities, relying on overwhelming force and brutish tactics to physically shatter their natural defenses.",,IdentifyBeasts,Smash,ShatterArmor,SwingHammers,Brawl,,
Circle Hierophant,"You sit at the upper echelons of the faith, commanding the masses and safeguarding the deepest, most dangerous secrets of the city's plane-formation.",,PerformRituals,ChannelDivinity,Command,RecallReligiousSecrets,Persuade,,
Maintenance Priest,"You view the city's massive engines as holy relics, blending religious devotion with the greasy, hands-on work of keeping the gears turning.",,FixMachinery,RestorePowerNodes,Climb,OperateMachinery,ScribeArcaneCircuits,FixArcaneCircuits,
Inquisitor of the Circle,"You are the terrifying hand of the church, rooting out heresy, unauthorized magic, and those who ask too many questions.",,IdentifyHeretics,SenseReligiousDanger,ReadIntentions,Intimidate,SwingSwords,,
Mass Celebrant,"You are the charismatic voice of the faith, leading the congregations in grand rituals and keeping the populace pacified and devout.",,PreachGospel,Perform,ParleyClergy,DebateMorality,,,
Temple Scholar,"You dwell in the dust of the holy libraries, piecing together the true history of Bren and the sacred blueprints of its architecture.",,RecallReligiousHistory,RecallReligiousSecrets,InterpretOmens,AnalyzeArchitecture,ParleyWizards,,
Omen Reader,"You study the subtle shifts in arcane energy and natural phenomena, predicting disasters and divine will through artifacts and the weather.",,InterpretOmens,SenseReligiousDanger,CommuneWithArtifacts,SenseDanger,Listen,,
Moral Arbiter,"You are the judge of spiritual purity in the city, using theological debate and strict law to steer the populace away from forbidden temptations.",,DebateMorality,ParleyClergy,ReadIntentions,Persuade,,,
Underbelly Stowaway,"You are a ghost in the city's slums, surviving in the forgotten cracks of Bren by staying unseen and scavenging what the rich throw away.",,Hide,Sneak,MingleStreets,Scavenge,ParleyUnderground,Steal,PerformSleightOfHand
Corporate Saboteur,"You are paid to cripple rival industries, slipping into heavily guarded factories to sever arcane circuits and jam the gears.",,SabotageMachinery,BreakArcaneCircuits,HackCircuits,Sneak,Deceive,,
Cat Burglar,"You scale the sheer walls of aristocratic estates, bypassing locks and security measures to steal priceless artifacts from under their noses.",,Climb,Balance,Steal,PickLocks,Evade,,
Chameleon Infiltrator,"You are a master of disguise and social blending, able to walk into a high-society gala or a dockside tavern and belong perfectly.",,Perform,Deceive,Hide,MingleStreets,ParleyUnderground,ParleyAristocrats,
Arcane Disruptor,"You understand just enough magic to break it, short-circuiting magical locks and overloading defensive runes with a flick of the wrist.",,OverloadCircuits,HackCircuits,DetectArcaneEnergy,PerformSleightOfHand,CommuneWithArtifacts,,
Shadow Courier,"You move illicit goods across the city's rooftops and sewers, relying on speed and absolute silence to avoid the guard patrols.",,Sneak,Evade,FindPaths,ReactQuickly,,,
Alleyway Informant,"You are the eyes and ears of the streets, trading secrets, reading people, and knowing exactly who to talk to when trouble brews.",,Listen,Spot,ReadIntentions,ParleyUnderground,MingleStreets,,
Contract Thief,"You are a professional acquirer of things, meticulously planning heists to lift specific, highly guarded artifacts for wealthy clients.",,PickLocks,Steal,Search,DefuseTraps,,,
Beat Cop,"You walk the grimy streets of the lower tiers, relying on your fists, your commanding presence, and your knowledge of the local gangs to keep order.",,TalkTough,Spot,Brawl,ParleyGuards,,,
Precinct Investigator,"You piece together the aftermath of the city's crimes, tracking suspects, scrying through forged documents, and finding the truth.",,ScryDocuments,Search,ReadIntentions,Track,,,
Heavy Enforcer,"You are the blunt instrument of the law, heavily armored and armed with crushing weapons to break up riots and smash resistance.",,SwingHammers,Smash,Intimidate,Grapple,TalkTough,,
Gate Watchman,"You stand between the safety of Bren and the horrors of the jungle, trained to spot smugglers, monsters, and trouble from a mile away.",,Perceive,SenseDanger,ParleyOutsiders,ShootGuns,,,
Circle Swordsman,"You are an elite, highly trained duelist for the city, using disciplined martial tactics to disarm and dismantle your opponents.",,SwingSwords,ReactQuickly,PlanTactics,ShatterArmor,,,
Riot Suppressor,"You hold the line when the commonry boils over, trained in crowd control, physical endurance, and the psychological tactics of mass intimidation.",,DisruptAttacks,Intimidate,EndurePhysicalStrain,Command,,,
Military General,"You orchestrate the macro-defenses of the city, navigating aristocratic politics while commanding the tactical deployment of troops.",,Command,PlanTactics,NavigateBureaucracy,ParleyGuards,,,
Master Mason,"You built the walls that keep the jungle out, possessing an intimate understanding of structural integrity and the sheer strength to shape stone.",,AnalyzeArchitecture,LiftHeavyObjects,Smash,EndurePhysicalStrain,,,
Circle Farmer,"You coax life from the toxic, dry soil of the city's outskirts, surviving the grueling elements to feed the masses.",,EndureDehydration,EndureHunger,ForageReagents,MingleStreets,,,
Street Alchemist,"You brew volatile mixtures in makeshift labs, creating cheap medicines, chemical explosives, and chemical solutions for everyday problems.",,BrewAlchemy,ForageReagents,Tinker,Bargain,,,
Factory Hand,"You have survived years in the deafening, toxic belly of Bren's industrial sector, learning how to keep the rusted machines from exploding.",,OperateMachinery,FixMachinery,EndureToxins,LiftHeavyObjects,,,
Caravan Driver,"You haul goods across the treacherous roads of the city and its immediate borders, skilled in rapid repairs and evasive driving.",,DriveVehicles,FixVehicles,FindPaths,ReactQuickly,,,
Market Trader,"You run the bustling bazaars, haggling over scraps and reading the intentions of desperate buyers and shady suppliers alike.",,Bargain,Persuade,MingleStreets,ReadIntentions,,,
Tough Laborer,"You are the backbone of the city's physical expansion, relying on raw strength, calloused hands, and a high tolerance for pain.",,LiftHeavyObjects,Grapple,EndurePhysicalStrain,TalkTough,,,
Circuit Engineer,"You design the magical pathways that power Bren's revolution, merging arcane theory with the practical reality of copper and wire.",,ScribeArcaneCircuits,RestorePowerNodes,Tinker,IdentifyArcanePurpose,,,
Artifact Researcher,"You push your mind to the brink of madness trying to understand the terrifying relics pulled from the ruins, uncovering their true nature.",,AnalyzeArtifacts,ExperimentWithArtifacts,RecallArtifactLore,EndureCognitiveStrain,,,
Containment Specialist,"You are called when an artifact wakes up, using dampening fields and arcane wards to prevent catastrophic magical meltdowns.",,ContainArtifacts,EndurePsychicAttacks,AnalyzeArtifacts,Spot,,,
Arcane Inventor,"You tinker at the bleeding edge of science and magic, creating prototype tools and experimental mixtures that defy natural law.",,ScribeArcaneCircuits,Tinker,FixArcaneCircuits,AnalyzeArtifacts,RestorePowerNodes,,
Industrial Technomancer,"You interface directly with the city's largest, most dangerous engines, keeping the volatile mix of steam and magic stable.",,OperateHeavyMachinery,RestorePowerNodes,OverloadCircuits,FixMachinery,FixArcaneCircuits,,
Wasteland Scholar,"You document the esoteric lore of the jungle and its ruins, bridging the gap between high academia and the gritty reality of the explorers.",,CommuneWithArtifacts,IdentifyArcanePurpose,ParleyExplorers,RecallArtifactLore,AnalyzeArtifacts,,
Rogue Arcanist,"You operate outside the sanctioned labs, conducting highly illegal, dangerous experiments with artifacts that the Aristocracy deems too volatile.",,ExperimentWithArtifacts,CommuneWithArtifacts,HackCircuits,EndureToxins,EndurePhysicalStrain,,
Scrap-Waste Heretic,"You are a feral outcast of the wastes, surviving the toxic sands by forming sacred, heretical bonds with the desert's mechanical beasts and the dark entities that command them.",,CommuneWithArtifacts,RecallReligiousSecrets,ChannelDivinity,EndureToxins,IdentifyBeasts,,
Hair-Trigger Senses,"The wastes do not forgive the blind or the deaf. Your senses have been sharpened to a razor's edge, giving you the twitch-reflexes needed to survive the unseen horrors of the desert.",,Spot,Listen,Perceive,ReactQuickly,,,
Sword Fighter,"You are a blur of steel in the wastes, keeping your eyes locked on your opponent to sidestep their strikes and punish their slightest mistakes.",,SwingSwords,Evade,ExploitWeakness,Spot,,,
Hammer Figher,"You are a walking engine of blunt force, built to shrug off punishing blows while you crush armor, bone, and morale under the massive weight of your hammer.",,SwingHammers,Smash,EndurePhysicalStrain,ShatterArmor,,,
Arcane Bombardier,"Subtlety is a luxury you discarded for raw, explosive power. You can read the invisible currents of arcane energy and reduce heavily armored targets to smoking craters from a distance.",,FireHeavyOrdnance,Throw,Spot,DetectArcaneEnergy,SetTraps,,
Natural Charmer,"You have an uncanny ability to read a room and tell people exactly what they want to hear, defusing tension or swindling fools with a disarming smile.",,Persuade,Deceive,ReadIntentions,Bargain,,,
Iron-Willed,"You simply refuse to yield. Whether facing psychic intrusion, unbearable pain, or someone trying to manipulate you, your mind is an absolute fortress.",,EndureCognitiveStrain,EndurePsychicAttacks,DebateMorality,Intimidate,,,
Calloused Survivor,"You have been beaten, broken, and burned so many times that pain has just become another background noise you can easily ignore.",,EndurePhysicalStrain,EndureToxins,Brawl,TalkTough,,,
Contortionist,"You possess an uncanny, almost unnatural flexibility, allowing you to slip out of grapples, squeeze into rusted ventilation shafts, and maintain perfect footing.",,Evade,Balance,Jump,Grapple,,,
Heavyweight,"You are built like a brick wall. Your sheer mass makes you incredibly difficult to move, and when you put your weight into something, it breaks.",,LiftHeavyObjects,Smash,Grapple,Intimidate,,,
Fate-Touched,"You shouldn't be alive, yet things always seem to inexplicably work out in your favor right before disaster strikes.",,SenseDanger,ReactQuickly,Evade,InterpretOmens,,,
Lore Savant,"Once you see a schematic or read an ancient text, it is permanently burned into your mind, making you a walking encyclopedia of the old world.",,RecallArtifactLore,RecallReligiousHistory,RecallReligiousSecrets,AnalyzeArchitecture,,,
Jury-Rigger,You can look at a pile of rusted trash and see a solution. You have an innate knack for cobbling together temporary fixes from completely unrelated parts.,,Tinker,Scavenge,FixMachinery,ForageReagents,BrewAlchemy,,
